"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,2.7731e-07,0,200,2,1.2621,27,27
3,2.7731e-07,1,200,3,1.2621,0,0
3,8.0302e-05,2,200,2,0.12012,21,21
3,8.0302e-05,3,200,1,0.12012,13,13
3,5.9916e-07,4,200,2,0.8372,15,15
3,5.9916e-07,5,200,1,0.8372,5,5
3,1.7133e-05,6,200,2,0.055517,29,29
3,1.7133e-05,7,200,1,0.055517,23,23
3,1.1684e-05,8,200,2,0.056932,25,25
3,1.1684e-05,9,200,1,0.056932,19,19
3,1.3736e-06,10,200,2,0.83754,7,7
3,1.3736e-06,11,200,1,0.83754,1,1
3,8.1874e-06,12,200,2,0.060576,17,17
3,8.1874e-06,13,200,1,0.060576,11,11
3,8.694e-06,14,200,2,0.060538,9,9
3,8.694e-06,15,200,1,0.060538,3,3
