"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,2.3877e-07,0,200,2,0.7473,43,43
3,2.3877e-07,1,200,3,0.7473,0,0
3,2.3593e-05,2,200,2,0.22624,17,17
3,2.3593e-05,3,200,1,0.22624,11,11
3,8.4872e-05,4,200,2,0.085667,37,37
3,8.4872e-05,5,200,1,0.085667,31,31
3,3.6251e-05,6,200,2,0.087691,33,33
3,3.6251e-05,7,200,1,0.087691,27,27
3,8.9523e-05,8,200,2,0.097273,29,29
3,8.9523e-05,9,200,1,0.097273,23,23
3,4.3429e-05,10,200,2,0.17194,21,21
3,4.3429e-05,11,200,1,0.17194,15,15
3,8.1609e-06,12,200,2,0.070728,5,9
3,8.1609e-06,13,200,1,0.070728,1,3
3,6.4414e-06,14,200,2,0.063331,45,45
3,6.4414e-06,15,200,1,0.063331,39,39
3,1.8343e-05,16,200,2,0.088256,41,41
3,1.8343e-05,17,200,1,0.088256,35,35
3,0.00021163,18,200,2,0.13625,25,25
3,0.00021163,19,200,1,0.13625,19,19
3,8.8243e-06,20,200,2,0.28887,9,5
3,8.8243e-06,21,200,1,0.28887,3,1
3,8.1102e-06,22,200,2,0.26849,13,13
3,8.1102e-06,23,200,1,0.26849,7,7
