"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,8.2785e-07,0,200,2,0.74706,23,19
3,8.2785e-07,1,200,3,0.74706,0,0
3,1.4726e-05,2,200,2,0.42863,31,27
3,1.4726e-05,3,200,1,0.42863,15,15
3,5.8629e-07,4,200,2,0.15462,7,7
3,5.8629e-07,5,200,1,0.15462,1,1
3,6.1418e-06,6,200,2,0.52249,17,17
3,6.1418e-06,7,200,1,0.52249,11,11
3,4.6465e-07,8,200,2,0.1549,13,13
3,4.6465e-07,9,200,1,0.1549,5,5
3,0.00016416,10,200,2,0.17678,33,29
3,0.00016416,11,200,1,0.17678,27,23
3,5.1872e-05,12,200,2,0.20076,29,25
3,5.1872e-05,13,200,1,0.20076,21,21
3,3.4226e-08,14,200,2,0.081642,9,9
3,3.4226e-08,15,200,1,0.081642,3,3
