"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,9.6821e-06,0,200,2,1.2934,13,13
3,9.6821e-06,1,200,3,1.2934,0,0
3,0.001646,2,200,2,0.2141,19,19
3,0.001646,3,200,1,0.2141,7,7
3,9.8445e-08,4,200,2,0.85668,9,9
3,9.8445e-08,5,200,1,0.85668,3,3
3,6.3149e-08,6,200,2,0.85677,5,5
3,6.3149e-08,7,200,1,0.85677,1,1
3,0.00057912,8,200,2,0.16649,17,17
3,0.00057912,9,200,1,0.16649,11,11
3,0.0095896,10,200,2,0.14319,21,21
3,0.0095896,11,200,1,0.14319,15,15
