"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,6.1734e-07,0,200,2,1.2922,13,13
3,6.1734e-07,1,200,3,1.2922,0,0
3,0.00010496,2,200,2,0.18718,19,19
3,0.00010496,3,200,1,0.18718,7,7
3,3.0333e-09,4,200,2,0.85585,5,5
3,3.0333e-09,5,200,1,0.85585,1,1
3,7.6771e-09,6,200,2,0.85574,9,9
3,7.6771e-09,7,200,1,0.85574,3,3
3,3.6931e-05,8,200,2,0.14341,17,17
3,3.6931e-05,9,200,1,0.14341,11,11
3,0.00061151,10,200,2,0.12692,21,21
3,0.00061151,11,200,1,0.12692,15,15
