"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,8.8915e-09,0,200,2,1.2949,13,13
3,8.8915e-09,1,200,3,1.2949,0,0
3,1.5115e-06,2,200,2,0.24809,19,19
3,1.5115e-06,3,200,1,0.24809,7,7
3,4.3774e-11,4,200,2,0.85788,9,9
3,4.3774e-11,5,200,1,0.85788,3,3
3,1.1005e-10,6,200,2,0.85792,5,5
3,1.1005e-10,7,200,1,0.85792,1,1
3,5.3173e-07,8,200,2,0.19541,17,17
3,5.3173e-07,9,200,1,0.19541,11,11
3,8.8057e-06,10,200,2,0.1639,21,21
3,8.8057e-06,11,200,1,0.1639,15,15
