"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,8.3693e-06,0,200,2,1.2956,23,13
3,8.3693e-06,1,200,3,1.2956,0,0
3,0.0025592,2,100,2,0.13898,47,31
3,0.0025592,3,100,1,0.13898,11,7
3,7.8948e-08,4,200,2,0.85581,13,9
3,7.8948e-08,5,200,1,0.85581,5,3
3,5.7944e-07,6,200,2,0.85618,21,5
3,5.7944e-07,7,200,1,0.85618,1,1
3,0.072932,8,100,2,0.088439,37,17
3,0.072932,9,100,1,0.088439,31,11
3,0.002548,10,100,2,0.016531,41,29
3,0.002548,11,100,1,0.016531,35,23
3,0.0046582,12,100,2,0.022351,45,33
3,0.0046582,13,100,1,0.022351,39,27
3,0.049324,14,100,2,0.07273,49,25
3,0.049324,15,100,1,0.07273,43,19
3,0.0088021,16,100,2,0.030724,33,21
3,0.0088021,17,100,1,0.030724,25,15
