"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,5.0918e-06,0,200,2,1.2988,17,9
3,5.0918e-06,1,200,3,1.2988,0,0
3,4.8034e-08,2,200,2,0.85753,5,5
3,4.8034e-08,3,200,1,0.85753,1,1
3,3.5258e-07,4,200,2,0.85721,25,21
3,3.5258e-07,5,200,1,0.85721,3,3
3,0.006769,6,100,2,0.20589,19,15
3,0.006769,7,100,1,0.20589,7,7
3,0.005352,8,100,2,0.18308,31,23
3,0.005352,9,100,1,0.18308,13,13
3,0.022251,10,100,2,0.09492,21,17
3,0.022251,11,100,1,0.09492,11,11
3,0.0016974,12,100,2,0.023312,33,25
3,0.0016974,13,100,1,0.023312,23,19
