"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.1654e-05,0,200,2,1.2982,23,9
3,1.1654e-05,1,200,3,1.2982,0,0
3,1.0995e-07,2,200,2,0.85722,13,5
3,1.0995e-07,3,200,1,0.85722,5,1
3,8.0684e-07,4,200,2,0.85702,21,21
3,8.0684e-07,5,200,1,0.85702,1,3
3,0.015492,6,100,2,0.18031,15,15
3,0.015492,7,100,1,0.18031,3,7
3,0.012249,8,100,2,0.16033,27,23
3,0.012249,9,100,1,0.16033,9,13
3,0.050924,10,100,2,0.080811,17,17
3,0.050924,11,100,1,0.080811,7,11
3,0.0038847,12,100,2,0.019847,29,25
3,0.0038847,13,100,1,0.019847,19,19
