"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.1853e-07,0,200,2,0.74763,47,47
3,1.1853e-07,1,200,3,0.74763,0,0
3,7.1938e-05,2,200,2,0.19527,17,17
3,7.1938e-05,3,200,1,0.19527,11,11
3,4.5569e-05,4,200,2,0.077344,45,37
3,4.5569e-05,5,200,1,0.077344,39,31
3,4.1341e-05,6,200,2,0.11561,33,33
3,4.1341e-05,7,200,1,0.11561,27,27
3,0.00021436,8,200,2,0.11633,25,25
3,0.00021436,9,200,1,0.11633,19,19
3,0.00014633,10,200,2,0.1582,21,21
3,0.00014633,11,200,1,0.1582,15,15
3,1.9236e-05,12,200,2,0.088548,5,5
3,1.9236e-05,13,200,1,0.088548,1,1
3,0.00026057,14,100,2,0.052419,49,49
3,0.00026057,15,100,1,0.052419,43,43
3,2.7445e-06,16,200,2,0.08625,41,45
3,2.7445e-06,17,200,1,0.08625,35,39
3,6.7347e-06,18,200,2,0.065713,37,41
3,6.7347e-06,19,200,1,0.065713,31,35
3,1.2971e-05,20,200,2,0.096975,29,29
3,1.2971e-05,21,200,1,0.096975,23,23
3,2.842e-06,22,200,2,0.28279,13,13
3,2.842e-06,23,200,1,0.28279,7,7
3,2.6988e-06,24,200,2,0.2797,9,9
3,2.6988e-06,25,200,1,0.2797,3,3
