"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.1441e-06,0,200,2,0.74799,47,47
3,1.1441e-06,1,200,3,0.74799,0,0
3,0.00069451,2,200,2,0.20222,17,17
3,0.00069451,3,200,1,0.20222,11,11
3,0.00043994,4,200,2,0.072554,45,37
3,0.00043994,5,200,1,0.072554,39,31
3,0.00039912,6,200,2,0.11113,33,33
3,0.00039912,7,200,1,0.11113,27,27
3,0.0020695,8,200,2,0.13254,25,25
3,0.0020695,9,200,1,0.13254,19,19
3,0.0014127,10,200,2,0.16777,21,21
3,0.0014127,11,200,1,0.16777,15,15
3,0.00018571,12,200,2,0.085143,5,5
3,0.00018571,13,200,1,0.085143,1,1
3,0.0025156,14,100,2,0.034437,49,49
3,0.0025156,15,100,1,0.034437,43,43
3,2.6497e-05,16,200,2,0.085004,41,45
3,2.6497e-05,17,200,1,0.085004,35,39
3,6.5019e-05,18,200,2,0.064784,37,41
3,6.5019e-05,19,200,1,0.064784,31,35
3,0.00012523,20,200,2,0.093551,29,29
3,0.00012523,21,200,1,0.093551,23,23
3,2.7437e-05,22,200,2,0.28376,13,13
3,2.7437e-05,23,200,1,0.28376,7,7
3,2.6055e-05,24,200,2,0.27813,9,9
3,2.6055e-05,25,200,1,0.27813,3,3
