"BranchID","Cell Type","ClusterID","PercentMatchArc","Persistence","TreeID","downNodeId","isDummyArc","isImportantPair","upNodeId"
0,3,0,200,0.74781,0,2,0,1,0
1,3,0,200,0.15461,0,4,1,1,2
1,3,0,200,0.15461,0,4,0,1,2
0,3,0,200,0.74781,0,6,0,1,2
1,3,0,200,0.15461,0,8,0,1,4
2,3,0,200,0.081645,0,10,1,1,4
2,3,0,200,0.081645,0,10,0,1,4
0,3,0,200,0.74781,0,12,0,1,6
3,3,0,200,0.1549,0,14,1,1,6
3,3,0,200,0.1549,0,14,0,1,6
0,3,0,200,0.74781,0,16,0,1,12
4,3,0,200,0.52193,0,18,1,1,12
4,3,0,200,0.52193,0,18,0,1,12
0,3,0,200,0.74781,0,20,0,1,16
5,3,0,200,0.42942,0,22,1,1,16
5,3,0,200,0.42942,0,22,0,1,16
0,3,0,200,0.74781,0,24,0,1,20
6,3,0,100,0.064863,0,26,1,1,20
6,3,0,100,0.064863,0,26,0,1,20
5,3,0,200,0.42942,0,28,0,1,22
7,3,0,200,0.20413,0,30,1,1,22
7,3,0,200,0.20413,0,30,0,1,22
5,3,0,200,0.42942,0,32,0,1,28
8,3,0,200,0.17931,0,34,1,1,28
8,3,0,200,0.17931,0,34,0,1,28
