"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,3.85e-09,0,200,2,0.7471,47,43
3,3.85e-09,1,200,3,0.7471,0,0
3,3.0738e-05,2,200,2,0.16713,17,17
3,3.0738e-05,3,200,1,0.16713,11,11
3,3.576e-05,4,200,2,0.097946,33,29
3,3.576e-05,5,200,1,0.097946,27,23
3,2.3274e-05,6,200,2,0.088118,25,25
3,2.3274e-05,7,200,1,0.088118,19,19
3,5.0696e-05,8,200,2,0.12254,21,21
3,5.0696e-05,9,200,1,0.12254,15,15
3,2.8135e-06,10,200,2,0.10024,5,5
3,2.8135e-06,11,200,1,0.10024,1,1
3,1.8193e-06,12,200,2,0.084963,41,45
3,1.8193e-06,13,200,1,0.084963,35,39
3,9.2193e-07,14,200,2,0.092461,45,41
3,9.2193e-07,15,200,1,0.092461,39,35
3,2.0793e-05,16,200,2,0.075485,37,37
3,2.0793e-05,17,200,1,0.075485,31,31
3,3.451e-05,18,200,2,0.07793,29,33
3,3.451e-05,19,200,1,0.07793,23,27
3,3.5029e-05,20,200,2,0.30632,13,13
3,3.5029e-05,21,200,1,0.30632,7,7
3,7.4087e-07,22,200,2,0.28493,9,9
3,7.4087e-07,23,200,1,0.28493,3,3
