"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,8.0091e-08,0,200,2,0.74732,47,47
3,8.0091e-08,1,200,3,0.74732,0,0
3,0.00063986,2,200,2,0.18211,17,17
3,0.00063986,3,200,1,0.18211,11,11
3,0.0007444,4,200,2,0.10989,33,33
3,0.0007444,5,200,1,0.10989,27,27
3,0.00048449,6,200,2,0.1005,25,25
3,0.00048449,7,200,1,0.1005,19,19
3,0.0010553,8,200,2,0.14131,21,21
3,0.0010553,9,200,1,0.14131,15,15
3,5.8567e-05,10,200,2,0.09416,5,5
3,5.8567e-05,11,200,1,0.09416,1,1
3,3.7871e-05,12,200,2,0.081736,41,37
3,3.7871e-05,13,200,1,0.081736,35,31
3,1.9191e-05,14,200,2,0.08907,45,45
3,1.9191e-05,15,200,1,0.08907,39,39
3,0.00043283,16,200,2,0.069856,37,41
3,0.00043283,17,200,1,0.069856,31,35
3,0.00071837,18,200,2,0.090397,29,29
3,0.00071837,19,200,1,0.090397,23,23
3,0.00072917,20,200,2,0.29185,13,13
3,0.00072917,21,200,1,0.29185,7,7
3,1.5422e-05,22,200,2,0.28222,9,9
3,1.5422e-05,23,200,1,0.28222,3,3
3,0.0017711,24,100,2,0.038694,49,49
3,0.0017711,25,100,1,0.038694,43,43
