"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,3.482e-09,0,200,2,0.74266,43,43
3,3.482e-09,1,200,3,0.74266,0,0
3,1.5214e-06,2,200,2,0.29921,9,9
3,1.5214e-06,3,200,1,0.29921,3,3
3,3.7109e-06,4,200,2,0.097149,41,41
3,3.7109e-06,5,200,1,0.097149,35,35
3,4.04e-06,6,200,2,0.10396,37,37
3,4.04e-06,7,200,1,0.10396,31,31
3,4.5338e-07,8,200,2,0.14835,25,25
3,4.5338e-07,9,200,1,0.14835,19,19
3,1.7116e-06,10,200,2,0.19512,21,21
3,1.7116e-06,11,200,1,0.19512,15,15
3,1.1734e-06,12,200,2,0.1226,5,5
3,1.1734e-06,13,200,1,0.1226,1,1
3,3.206e-08,14,200,2,0.27984,17,17
3,3.206e-08,15,200,1,0.27984,11,11
3,4.618e-07,16,200,2,0.067734,13,13
3,4.618e-07,17,200,1,0.067734,7,7
3,5.5024e-07,18,200,2,0.081858,45,45
3,5.5024e-07,19,200,1,0.081858,39,39
3,1.9445e-06,20,200,2,0.12459,33,33
3,1.9445e-06,21,200,1,0.12459,27,27
3,1.4468e-06,22,200,2,0.089541,29,29
3,1.4468e-06,23,200,1,0.089541,23,23
