"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.0541e-07,0,200,2,0.74279,43,43
3,1.0541e-07,1,200,3,0.74279,0,0
3,4.6023e-05,2,200,2,0.29708,9,9
3,4.6023e-05,3,200,1,0.29708,3,3
3,0.00011226,4,200,2,0.10078,41,41
3,0.00011226,5,200,1,0.10078,35,35
3,0.00012221,6,200,2,0.099338,37,37
3,0.00012221,7,200,1,0.099338,31,31
3,1.3715e-05,8,200,2,0.14724,25,25
3,1.3715e-05,9,200,1,0.14724,19,19
3,5.1775e-05,10,200,2,0.19301,21,21
3,5.1775e-05,11,200,1,0.19301,15,15
3,3.5496e-05,12,200,2,0.12011,5,5
3,3.5496e-05,13,200,1,0.12011,1,1
3,9.699e-07,14,200,2,0.27955,13,17
3,9.699e-07,15,200,1,0.27955,7,11
3,1.3969e-05,16,200,2,0.067074,17,13
3,1.3969e-05,17,200,1,0.067074,11,7
3,1.6645e-05,18,200,2,0.083595,45,45
3,1.6645e-05,19,200,1,0.083595,39,39
3,5.8822e-05,20,200,2,0.12137,33,33
3,5.8822e-05,21,200,1,0.12137,27,27
3,4.3764e-05,22,200,2,0.090392,29,29
3,4.3764e-05,23,200,1,0.090392,23,23
