"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,7.8259e-05,0,200,2,1.3179,39,27
3,7.8259e-05,1,200,3,1.3179,0,0
3,0.00040361,2,200,2,0.84436,11,9
3,0.00040361,3,200,1,0.84436,3,3
3,0.00018902,4,200,2,0.11094,31,23
3,0.00018902,5,200,1,0.11094,23,15
3,0.00022371,6,200,2,0.80426,21,17
3,0.00022371,7,200,1,0.80426,15,11
3,3.1013e-05,8,200,2,0.048719,17,13
3,3.1013e-05,9,200,1,0.048719,9,7
3,6.9417e-05,10,100,2,0.031031,41,29
3,6.9417e-05,11,100,1,0.031031,35,21
3,5.2069e-05,12,100,2,0.026875,5,5
3,5.2069e-05,13,100,1,0.026875,1,1
3,0.021226,14,100,2,0.044795,33,25
3,0.021226,15,100,1,0.044795,27,19
