"BranchNodeID","ClusterID","CriticalType","NodeId","PercentMatchNode","Persistence","Scalar","TreeID","VertexId","isDummyNode","isImportantPair"
0,0,0,0,200,1.2599,-1.2602,0,0,0,1
1,0,2,2,200,0.83451,-0.85424,0,10882,0,1
1,0,2,2,200,0.83451,-0.85424,0,10882,1,1
2,0,2,4,200,0.83421,-0.85381,0,6855,0,1
2,0,2,4,200,0.83421,-0.85381,0,6855,1,1
1,0,3,6,200,0.83451,-0.019729,0,15615,0,1
1,0,3,6,200,0.83451,-0.019729,0,15615,1,1
3,0,2,8,200,0.1232,-0.27318,0,9428,0,1
3,0,2,8,200,0.1232,-0.27318,0,9428,1,1
2,0,3,10,200,0.83421,-0.019601,0,2260,0,1
2,0,3,10,200,0.83421,-0.019601,0,2260,1,1
4,0,2,12,200,0.034276,-0.24275,0,8144,0,1
4,0,2,12,200,0.034276,-0.24275,0,8144,1,1
3,0,3,14,200,0.1232,-0.14998,0,9010,0,1
3,0,3,14,200,0.1232,-0.14998,0,9010,1,1
5,0,2,16,200,0.031355,-0.24115,0,9628,0,1
5,0,2,16,200,0.031355,-0.24115,0,9628,1,1
4,0,3,18,200,0.034276,-0.20848,0,9634,0,1
4,0,3,18,200,0.034276,-0.20848,0,9634,1,1
0,0,3,20,200,1.2599,-0.00032671,0,8774,0,1
0,0,3,20,200,1.2599,-0.00032671,0,8774,1,1
5,0,3,22,200,0.031355,-0.2098,0,8151,0,1
5,0,3,22,200,0.031355,-0.2098,0,8151,1,1
