"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.2961e-08,0,200,2,1.3072,51,35
3,1.2961e-08,1,200,3,1.3072,0,0
3,1.0195e-05,2,200,2,0.098789,37,21
3,1.0195e-05,3,200,1,0.098789,27,13
3,6.5067e-07,4,200,2,0.05654,53,37
3,6.5067e-07,5,200,1,0.05654,47,31
3,7.6251e-09,6,200,2,0.85216,5,5
3,7.6251e-09,7,200,1,0.85216,1,1
3,2.2851e-09,8,200,2,0.84879,9,9
3,2.2851e-09,9,200,1,0.84879,3,3
3,8.1233e-07,10,200,2,0.041111,45,29
3,8.1233e-07,11,200,1,0.041111,39,23
3,1.5663e-06,12,100,2,0.037403,49,33
3,1.5663e-06,13,100,1,0.037403,43,27
3,6.8669e-06,14,200,2,0.15273,31,15
3,6.8669e-06,15,200,1,0.15273,7,7
3,4.1708e-06,16,200,2,0.11287,41,25
3,4.1708e-06,17,200,1,0.11287,35,19
3,0.00020944,18,200,2,0.027824,17,17
3,0.00020944,19,200,1,0.027824,11,11
