"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,2.0263e-06,0,200,2,1.3061,51,47
3,2.0263e-06,1,200,3,1.3061,0,0
3,0.001593,2,200,2,0.13984,37,13
3,0.001593,3,200,1,0.13984,27,7
3,0.00010167,4,200,2,0.056817,49,45
3,0.00010167,5,200,1,0.056817,43,39
3,1.191e-06,6,200,2,0.85255,5,5
3,1.191e-06,7,200,1,0.85255,1,1
3,0.0004543,8,100,2,0.032797,21,25
3,0.0004543,9,100,1,0.032797,13,17
3,0.00012692,10,200,2,0.039431,41,41
3,0.00012692,11,200,1,0.039431,35,31
3,0.00031843,12,100,2,0.027458,29,33
3,0.00031843,13,100,1,0.027458,19,23
3,0.001073,14,200,2,0.12943,31,35
3,0.001073,15,200,1,0.12943,7,11
3,0.00065169,16,200,2,0.086575,45,49
3,0.00065169,17,200,1,0.086575,39,43
3,3.5719e-07,18,200,2,0.84868,9,9
3,3.5719e-07,19,200,1,0.84868,3,3
3,0.032725,20,200,2,0.040033,17,21
3,0.032725,21,200,1,0.040033,11,15
3,0.019055,22,100,2,0.019624,25,29
3,0.019055,23,100,1,0.019624,15,19
3,0.08008,24,100,2,0.04023,33,37
3,0.08008,25,100,1,0.04023,23,27
