"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,0.00034482,0,200,2,1.3146,55,47
3,0.00034482,1,200,3,1.3146,0,0
3,0.00058635,2,200,2,0.83861,13,9
3,0.00058635,3,200,1,0.83861,7,3
3,3.9972e-06,4,200,2,0.055529,49,45
3,3.9972e-06,5,200,1,0.055529,39,39
3,0.0006293,6,200,2,0.11872,51,35
3,0.0006293,7,200,1,0.11872,23,11
3,5.6769e-05,8,200,2,0.16478,21,13
3,5.6769e-05,9,200,1,0.16478,15,7
3,0.00039078,10,200,2,0.070667,25,25
3,0.00039078,11,200,1,0.070667,19,17
3,5.1658e-05,12,200,2,0.85411,9,5
3,5.1658e-05,13,200,1,0.85411,3,1
3,0.00015555,14,100,2,0.02697,41,41
3,0.00015555,15,100,1,0.02697,31,31
3,0.00020379,16,100,2,0.030871,33,33
3,0.00020379,17,100,1,0.030871,27,23
3,0.00051779,18,100,2,0.049207,57,49
3,0.00051779,19,100,1,0.049207,47,43
3,0.029569,20,100,2,0.033201,45,21
3,0.029569,21,100,1,0.033201,35,15
3,0.012195,22,100,2,0.021322,37,29
3,0.012195,23,100,1,0.021322,29,19
3,0.051251,24,100,2,0.043711,53,37
3,0.051251,25,100,1,0.043711,43,27
