"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,0.00031119,0,200,2,1.3275,55,31
3,0.00031119,1,200,3,1.3275,0,0
3,0.00052918,2,200,2,0.82458,13,13
3,0.00052918,3,200,1,0.82458,7,7
3,3.6074e-06,4,200,2,0.053481,49,33
3,3.6074e-06,5,200,1,0.053481,39,27
3,0.00056794,6,200,2,0.12424,51,29
3,0.00056794,7,200,1,0.12424,23,23
3,5.1234e-05,8,200,2,0.16348,21,21
3,5.1234e-05,9,200,1,0.16348,15,15
3,9.6117e-05,10,100,2,0.023149,5,5
3,9.6117e-05,11,100,1,0.023149,1,1
3,0.00020124,12,100,2,0.033495,17,17
3,0.00020124,13,100,1,0.033495,11,11
3,0.00035268,14,200,2,0.096075,25,25
3,0.00035268,15,200,1,0.096075,19,19
3,4.6622e-05,16,200,2,0.85586,9,9
3,4.6622e-05,17,200,1,0.85586,3,3
