"BranchNodeID","ClusterID","CriticalType","NodeId","PercentMatchNode","Persistence","Scalar","TreeID","VertexId","isDummyNode","isImportantPair"
0,0,3,0,200,1.3236,1.3236,0,5866,0,1
1,0,1,2,100,0.018996,0.86447,0,5088,0,1
1,0,1,2,100,0.018996,0.86447,0,5088,1,1
2,0,1,4,200,0.85538,0.85539,0,6444,0,1
2,0,1,4,200,0.85538,0.85539,0,6444,1,1
1,0,0,6,100,0.018996,0.84548,0,6059,0,1
1,0,0,6,100,0.018996,0.84548,0,6059,1,1
3,0,1,8,200,0.82896,0.82897,0,5076,0,1
3,0,1,8,200,0.82896,0.82897,0,5076,1,1
2,0,0,10,200,0.85538,6.9175e-06,0,191,0,1
2,0,0,10,200,0.85538,6.9175e-06,0,191,1,1
4,0,1,12,100,0.027486,0.79714,0,6986,0,1
4,0,1,12,100,0.027486,0.79714,0,6986,1,1
3,0,0,14,200,0.82896,1.127e-05,0,6252,0,1
3,0,0,14,200,0.82896,1.127e-05,0,6252,1,1
5,0,1,16,200,0.16389,0.19633,0,12287,0,1
5,0,1,16,200,0.16389,0.19633,0,12287,1,1
4,0,0,18,100,0.027486,0.76965,0,5445,0,1
4,0,0,18,100,0.027486,0.76965,0,5445,1,1
6,0,1,20,200,0.088255,0.18663,0,7178,0,1
6,0,1,20,200,0.088255,0.18663,0,7178,1,1
5,0,0,22,200,0.16389,0.032439,0,5865,0,1
5,0,0,22,200,0.16389,0.032439,0,5865,1,1
7,0,1,24,200,0.12255,0.16144,0,6810,0,1
7,0,1,24,200,0.12255,0.16144,0,6810,1,1
6,0,0,26,200,0.088255,0.098371,0,5282,0,1
6,0,0,26,200,0.088255,0.098371,0,5282,1,1
8,0,1,28,100,0.01826,0.14267,0,5284,0,1
8,0,1,28,100,0.01826,0.14267,0,5284,1,1
9,0,1,30,100,0.013078,0.10049,0,5866,0,1
9,0,1,30,100,0.013078,0.10049,0,5866,1,1
10,0,1,32,100,0.015953,0.11364,0,5088,0,1
10,0,1,32,100,0.015953,0.11364,0,5088,1,1
8,0,0,34,100,0.01826,0.12441,0,5477,0,1
8,0,0,34,100,0.01826,0.12441,0,5477,1,1
11,0,1,36,100,0.020364,0.098493,0,6251,0,1
11,0,1,36,100,0.020364,0.098493,0,6251,1,1
9,0,0,38,100,0.013078,0.087412,0,5865,0,1
9,0,0,38,100,0.013078,0.087412,0,5865,1,1
12,0,1,40,200,0.054115,0.078902,0,6445,0,1
12,0,1,40,200,0.054115,0.078902,0,6445,1,1
10,0,0,42,100,0.015953,0.097689,0,5282,0,1
10,0,0,42,100,0.015953,0.097689,0,5282,1,1
13,0,1,44,100,0.02681,0.088481,0,6444,0,1
13,0,1,44,100,0.02681,0.088481,0,6444,1,1
11,0,0,46,100,0.020364,0.078129,0,6059,0,1
11,0,0,46,100,0.020364,0.078129,0,6059,1,1
14,0,1,48,100,0.029106,0.054695,0,6986,0,1
14,0,1,48,100,0.029106,0.054695,0,6986,1,1
12,0,0,50,200,0.054115,0.024787,0,5081,0,1
12,0,0,50,200,0.054115,0.024787,0,5081,1,1
7,0,0,52,200,0.12255,0.038896,0,5671,0,1
7,0,0,52,200,0.12255,0.038896,0,5671,1,1
13,0,0,54,100,0.02681,0.06167,0,6252,0,1
13,0,0,54,100,0.02681,0.06167,0,6252,1,1
0,0,0,56,200,1.3236,0,0,5477,0,1
0,0,0,56,200,1.3236,0,0,5477,1,1
14,0,0,58,100,0.029106,0.025589,0,7178,0,1
14,0,0,58,100,0.029106,0.025589,0,7178,1,1
