"BranchNodeID","ClusterID","CriticalType","NodeId","PercentMatchNode","Persistence","Scalar","TreeID","VertexId","isDummyNode","isImportantPair"
0,0,3,0,200,1.319,1.319,0,5866,0,1
1,0,1,2,100,0.014117,0.85904,0,5088,0,1
1,0,1,2,100,0.014117,0.85904,0,5088,1,1
2,0,1,4,200,0.85475,0.85476,0,6444,0,1
2,0,1,4,200,0.85475,0.85476,0,6444,1,1
1,0,0,6,100,0.014117,0.84492,0,6059,0,1
1,0,0,6,100,0.014117,0.84492,0,6059,1,1
3,0,1,8,200,0.83404,0.83405,0,5076,0,1
3,0,1,8,200,0.83404,0.83405,0,5076,1,1
2,0,0,10,200,0.85475,8.3817e-06,0,191,0,1
2,0,0,10,200,0.85475,8.3817e-06,0,191,1,1
4,0,1,12,100,0.020426,0.79086,0,6986,0,1
4,0,1,12,100,0.020426,0.79086,0,6986,1,1
3,0,0,14,200,0.83404,1.0668e-05,0,6252,0,1
3,0,0,14,200,0.83404,1.0668e-05,0,6252,1,1
5,0,1,16,200,0.16436,0.19449,0,12287,0,1
5,0,1,16,200,0.16436,0.19449,0,12287,1,1
4,0,0,18,100,0.020426,0.77043,0,5445,0,1
4,0,0,18,100,0.020426,0.77043,0,5445,1,1
6,0,1,20,200,0.079064,0.18276,0,7178,0,1
6,0,1,20,200,0.079064,0.18276,0,7178,1,1
5,0,0,22,200,0.16436,0.030126,0,5865,0,1
5,0,0,22,200,0.16436,0.030126,0,5865,1,1
7,0,1,24,200,0.12055,0.16589,0,6810,0,1
7,0,1,24,200,0.12055,0.16589,0,6810,1,1
6,0,0,26,200,0.079064,0.1037,0,5282,0,1
6,0,0,26,200,0.079064,0.1037,0,5282,1,1
8,0,1,28,100,0.024853,0.14549,0,5284,0,1
8,0,1,28,100,0.024853,0.14549,0,5284,1,1
9,0,1,30,100,0.017572,0.10828,0,5866,0,1
9,0,1,30,100,0.017572,0.10828,0,5866,1,1
10,0,1,32,100,0.021713,0.11615,0,5088,0,1
10,0,1,32,100,0.021713,0.11615,0,5088,1,1
8,0,0,34,100,0.024853,0.12064,0,5477,0,1
8,0,0,34,100,0.024853,0.12064,0,5477,1,1
11,0,1,36,100,0.027362,0.10763,0,6251,0,1
11,0,1,36,100,0.027362,0.10763,0,6251,1,1
9,0,0,38,100,0.017572,0.090711,0,5865,0,1
9,0,0,38,100,0.017572,0.090711,0,5865,1,1
12,0,1,40,200,0.054856,0.079117,0,6445,0,1
12,0,1,40,200,0.054856,0.079117,0,6445,1,1
10,0,0,42,100,0.021713,0.094439,0,5282,0,1
10,0,0,42,100,0.021713,0.094439,0,5282,1,1
13,0,1,44,100,0.036023,0.098941,0,6444,0,1
13,0,1,44,100,0.036023,0.098941,0,6444,1,1
11,0,0,46,100,0.027362,0.080268,0,6059,0,1
11,0,0,46,100,0.027362,0.080268,0,6059,1,1
14,0,1,48,100,0.039616,0.059809,0,6986,0,1
14,0,1,48,100,0.039616,0.059809,0,6986,1,1
12,0,0,50,200,0.054856,0.024261,0,5081,0,1
12,0,0,50,200,0.054856,0.024261,0,5081,1,1
7,0,0,52,200,0.12055,0.045339,0,5671,0,1
7,0,0,52,200,0.12055,0.045339,0,5671,1,1
13,0,0,54,100,0.036023,0.062918,0,6252,0,1
13,0,0,54,100,0.036023,0.062918,0,6252,1,1
0,0,0,56,200,1.319,0,0,5477,0,1
0,0,0,56,200,1.319,0,0,5477,1,1
14,0,0,58,100,0.039616,0.020194,0,7178,0,1
14,0,0,58,100,0.039616,0.020194,0,7178,1,1
