"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,0.00014785,0,200,2,0.73648,47,43
3,0.00014785,1,200,3,0.73648,0,0
3,0.0032182,2,100,2,0.051153,21,13
3,0.0032182,3,100,1,0.051153,15,7
3,6.686e-05,4,200,2,0.061869,49,45
3,6.686e-05,5,200,1,0.061869,43,39
3,0.00056081,6,200,2,0.093721,45,37
3,0.00056081,7,200,1,0.093721,39,31
3,0.00012101,8,200,2,0.093144,33,29
3,0.00012101,9,200,1,0.093144,27,23
3,0.00083078,10,200,2,0.20488,17,17
3,0.00083078,11,200,1,0.20488,11,11
3,0.00031177,12,200,2,0.2748,9,5
3,0.00031177,13,200,1,0.2748,3,1
3,0.00047997,14,200,2,0.073624,37,41
3,0.00047997,15,200,1,0.073624,31,35
3,0.0008133,16,200,2,0.112,41,33
3,0.0008133,17,200,1,0.112,35,27
3,0.0023389,18,200,2,0.14764,29,25
3,0.0023389,19,200,1,0.14764,23,19
3,0.00085077,20,200,2,0.1582,25,21
3,0.00085077,21,200,1,0.1582,19,15
3,0.0002768,22,200,2,0.29998,5,9
3,0.0002768,23,200,1,0.29998,1,3
