"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,4.6638e-05,0,200,2,0.73382,47,43
3,4.6638e-05,1,200,3,0.73382,0,0
3,0.0010152,2,100,2,0.064037,21,13
3,0.0010152,3,100,1,0.064037,15,7
3,2.109e-05,4,200,2,0.061503,49,45
3,2.109e-05,5,200,1,0.061503,43,39
3,0.00017691,6,200,2,0.094848,45,37
3,0.00017691,7,200,1,0.094848,39,31
3,3.817e-05,8,200,2,0.091648,33,29
3,3.817e-05,9,200,1,0.091648,27,23
3,0.00026207,10,200,2,0.19903,17,17
3,0.00026207,11,200,1,0.19903,11,11
3,9.8344e-05,12,200,2,0.27668,9,5
3,9.8344e-05,13,200,1,0.27668,3,1
3,0.0001514,14,200,2,0.070739,41,41
3,0.0001514,15,200,1,0.070739,35,35
3,0.00025655,16,200,2,0.11763,37,33
3,0.00025655,17,200,1,0.11763,31,27
3,0.00073778,18,200,2,0.15172,29,25
3,0.00073778,19,200,1,0.15172,23,19
3,0.00026837,20,200,2,0.15537,25,21
3,0.00026837,21,200,1,0.15537,19,15
3,8.7316e-05,22,200,2,0.30263,5,9
3,8.7316e-05,23,200,1,0.30263,1,3
