"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,9.6578e-05,0,200,2,0.73532,47,43
3,9.6578e-05,1,200,3,0.73532,0,0
3,0.0021022,2,100,2,0.056813,21,13
3,0.0021022,3,100,1,0.056813,15,7
3,4.3674e-05,4,200,2,0.061709,49,45
3,4.3674e-05,5,200,1,0.061709,43,39
3,0.00036633,6,200,2,0.094217,45,37
3,0.00036633,7,200,1,0.094217,39,31
3,7.9043e-05,8,200,2,0.092488,33,29
3,7.9043e-05,9,200,1,0.092488,27,23
3,0.00054268,10,200,2,0.20231,17,17
3,0.00054268,11,200,1,0.20231,11,11
3,0.00020365,12,200,2,0.27563,9,5
3,0.00020365,13,200,1,0.27563,3,1
3,0.00031353,14,200,2,0.072357,41,41
3,0.00031353,15,200,1,0.072357,35,35
3,0.00053126,16,200,2,0.11448,37,33
3,0.00053126,17,200,1,0.11448,31,27
3,0.0015278,18,200,2,0.14943,29,25
3,0.0015278,19,200,1,0.14943,23,19
3,0.00055574,20,200,2,0.15696,25,21
3,0.00055574,21,200,1,0.15696,19,15
3,0.00018081,22,200,2,0.30114,5,9
3,0.00018081,23,200,1,0.30114,1,3
