"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,2.0226e-05,0,200,2,0.73265,47,43
3,2.0226e-05,1,200,3,0.73265,0,0
3,0.00044025,2,100,2,0.069615,17,13
3,0.00044025,3,100,1,0.069615,11,7
3,9.1463e-06,4,200,2,0.061343,49,45
3,9.1463e-06,5,200,1,0.061343,43,39
3,7.6719e-05,6,200,2,0.095334,45,37
3,7.6719e-05,7,200,1,0.095334,39,31
3,1.6553e-05,8,200,2,0.090999,33,29
3,1.6553e-05,9,200,1,0.090999,27,23
3,0.00011365,10,200,2,0.19649,21,17
3,0.00011365,11,200,1,0.19649,15,11
3,4.2649e-05,12,200,2,0.27749,5,5
3,4.2649e-05,13,200,1,0.27749,1,1
3,6.566e-05,14,200,2,0.069489,41,41
3,6.566e-05,15,200,1,0.069489,35,35
3,0.00011126,16,200,2,0.12007,37,33
3,0.00011126,17,200,1,0.12007,31,27
3,0.00031995,18,200,2,0.15349,29,25
3,0.00031995,19,200,1,0.15349,23,19
3,0.00011638,20,200,2,0.15414,25,21
3,0.00011638,21,200,1,0.15414,19,15
3,3.7866e-05,22,200,2,0.30377,9,9
3,3.7866e-05,23,200,1,0.30377,3,3
