"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,0.00021485,0,200,2,0.73773,47,43
3,0.00021485,1,200,3,0.73773,0,0
3,0.0046766,2,100,2,0.045049,21,13
3,0.0046766,3,100,1,0.045049,15,7
3,9.7159e-05,4,200,2,0.062041,49,45
3,9.7159e-05,5,200,1,0.062041,43,39
3,0.00081497,6,200,2,0.093186,45,37
3,0.00081497,7,200,1,0.093186,39,31
3,0.00017584,8,200,2,0.093851,33,29
3,0.00017584,9,200,1,0.093851,27,23
3,0.0012073,10,200,2,0.20765,17,17
3,0.0012073,11,200,1,0.20765,11,11
3,0.00045305,12,200,2,0.2739,9,5
3,0.00045305,13,200,1,0.2739,3,1
3,0.00069749,14,200,2,0.074989,37,41
3,0.00069749,15,200,1,0.074989,31,35
3,0.0011819,16,200,2,0.10933,41,33
3,0.0011819,17,200,1,0.10933,35,27
3,0.0033988,18,200,2,0.1457,29,25
3,0.0033988,19,200,1,0.1457,23,19
3,0.0012363,20,200,2,0.15954,25,21
3,0.0012363,21,200,1,0.15954,19,15
3,0.00040224,22,200,2,0.29871,5,9
3,0.00040224,23,200,1,0.29871,1,3
