"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.6777e-05,0,200,2,1.3917,11,11
3,1.6777e-05,1,200,3,1.3917,0,0
3,6.6647e-06,2,200,2,0.12857,13,13
3,6.6647e-06,3,200,1,0.12857,5,5
3,6.7797e-06,4,200,2,0.85486,19,19
3,6.7797e-06,5,200,1,0.85486,1,1
3,0.00025603,6,200,2,0.11837,9,9
3,0.00025603,7,200,1,0.11837,3,3
3,5.3033e-05,8,200,2,0.044372,21,21
3,5.3033e-05,9,200,1,0.044372,15,15
3,3.4061e-05,10,200,2,0.048979,17,17
3,3.4061e-05,11,200,1,0.048979,7,7
