"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.4517e-07,0,200,2,1.3938,11,11
3,1.4517e-07,1,200,3,1.3938,0,0
3,5.7643e-08,2,200,2,0.1304,13,13
3,5.7643e-08,3,200,1,0.1304,5,5
3,5.8638e-08,4,200,2,0.85433,19,19
3,5.8638e-08,5,200,1,0.85433,1,1
3,2.2155e-06,6,200,2,0.11782,9,9
3,2.2155e-06,7,200,1,0.11782,3,3
3,4.5883e-07,8,200,2,0.040847,21,21
3,4.5883e-07,9,200,1,0.040847,15,15
3,2.9473e-07,10,200,2,0.046463,17,17
3,2.9473e-07,11,200,1,0.046463,7,7
