"BranchNodeID","ClusterID","CriticalType","NodeId","PercentMatchNode","Persistence","Scalar","TreeID","VertexId","isDummyNode","isImportantPair"
0,0,3,0,200,1.2994,1.2994,0,24576,0,1
1,0,1,2,200,0.85791,0.85791,0,56113152,0,1
1,0,1,2,200,0.85791,0.85791,0,56113152,1,1
2,0,1,4,200,0.85734,0.85734,0,0,0,1
2,0,1,4,200,0.85734,0.85734,0,0,1,1
1,0,0,6,200,0.85791,6.1614e-08,0,0,0,1
1,0,0,6,200,0.85791,6.1614e-08,0,0,1,1
3,0,1,8,100,0.23276,0.24955,0,6797,0,1
3,0,1,8,100,0.23276,0.24955,0,6797,1,1
4,0,1,10,100,0.016733,0.15733,0,0,0,1
4,0,1,10,100,0.016733,0.15733,0,0,1,1
5,0,1,12,100,0.11457,0.17434,0,6426,0,1
5,0,1,12,100,0.11457,0.17434,0,6426,1,1
6,0,1,14,100,0.20697,0.22538,0,5658,0,1
6,0,1,14,100,0.20697,0.22538,0,5658,1,1
7,0,1,16,100,0.00039963,0.1511,0,6797,0,1
7,0,1,16,100,0.00039963,0.1511,0,6797,1,1
0,0,0,18,200,1.2994,0,0,5445,0,1
0,0,0,18,200,1.2994,0,0,5445,1,1
3,0,0,20,100,0.23276,0.016794,0,6802,0,1
3,0,0,20,100,0.23276,0.016794,0,6802,1,1
5,0,0,22,100,0.11457,0.059768,0,6045,0,1
5,0,0,22,100,0.11457,0.059768,0,6045,1,1
8,0,1,24,100,0.028138,0.17329,0,5654,0,1
8,0,1,24,100,0.028138,0.17329,0,5654,1,1
2,0,0,26,200,0.85734,6.6759e-08,0,5654,0,1
2,0,0,26,200,0.85734,6.6759e-08,0,5654,1,1
9,0,1,28,100,0.00021502,0.15015,0,7741,0,1
9,0,1,28,100,0.00021502,0.15015,0,7741,1,1
7,0,0,30,100,0.00039963,0.1507,0,5656,0,1
7,0,0,30,100,0.00039963,0.1507,0,5656,1,1
6,0,0,32,100,0.20697,0.018411,0,5458,0,1
6,0,0,32,100,0.20697,0.018411,0,5458,1,1
8,0,0,34,100,0.028138,0.14515,0,5656,0,1
8,0,0,34,100,0.028138,0.14515,0,5656,1,1
10,0,1,36,100,0.00029072,0.14968,0,5658,0,1
10,0,1,36,100,0.00029072,0.14968,0,5658,1,1
9,0,0,38,100,0.00021502,0.14993,0,12096,0,1
9,0,0,38,100,0.00021502,0.14993,0,12096,1,1
11,0,1,40,100,0.0011503,0.14827,0,7954,0,1
11,0,1,40,100,0.0011503,0.14827,0,7954,1,1
10,0,0,42,100,0.00029072,0.14939,0,6045,0,1
10,0,0,42,100,0.00029072,0.14939,0,6045,1,1
12,0,1,44,100,0.00094599,0.14734,0,4285,0,1
12,0,1,44,100,0.00094599,0.14734,0,4285,1,1
11,0,0,46,100,0.0011503,0.14712,0,6426,0,1
11,0,0,46,100,0.0011503,0.14712,0,6426,1,1
4,0,0,48,100,0.016733,0.1406,0,5458,0,1
4,0,0,48,100,0.016733,0.1406,0,5458,1,1
12,0,0,50,100,0.00094599,0.14639,0,6802,0,1
12,0,0,50,100,0.00094599,0.14639,0,6802,1,1
