"Points:0","Points:1","Points:2"
-0.40861,-1.5023,0
-2.6544,-1.5025,0
-0.40861,-2.7418e-06,0
-2.6544,-2.7418e-06,0
0.091391,-1.2028,0
-2.1544,-1.2028,0
0.091391,-0.57065,0
-2.1544,-0.5847,0
-0.15861,-1.0865,0
-2.4044,-1.128,0
-0.15861,-1.0291,0
-2.4044,-0.98789,0
