"Points:0","Points:1","Points:2"
-0.027971,-1.5023,0
-2.6544,-1.5025,0
-0.027971,-2.7418e-06,0
-2.6544,-2.7418e-06,0
0.47203,-1.2028,0
-2.1544,-1.2028,0
0.47203,-0.56827,0
-2.1544,-0.5847,0
0.22203,-1.0795,0
-2.4044,-1.128,0
0.22203,-1.0361,0
-2.4044,-0.98789,0
