"BranchNodeID","ClusterID","CriticalType","NodeId","PercentMatchNode","Persistence","Scalar","TreeID","VertexId","isDummyNode","isImportantPair"
0,0,3,0,200,1.3165,1.3165,0,5342,0,1
1,0,1,2,200,0.85838,0.85838,0,7741,0,1
1,0,1,2,200,0.85838,0.85838,0,7741,1,1
2,0,1,4,200,0.73855,0.73855,0,6817,0,1
2,0,1,4,200,0.73855,0.73855,0,6817,1,1
3,0,1,6,200,0.13881,0.58961,0,9907,0,1
3,0,1,6,200,0.13881,0.58961,0,9907,1,1
4,0,1,8,200,0.2455,0.63212,0,1666,0,1
4,0,1,8,200,0.2455,0.63212,0,1666,1,1
5,0,1,10,100,0.11062,0.60537,0,3172,0,1
5,0,1,10,100,0.11062,0.60537,0,3172,1,1
6,0,1,12,200,0.32807,0.54507,0,10522,0,1
6,0,1,12,200,0.32807,0.54507,0,10522,1,1
3,0,0,14,200,0.13881,0.4508,0,4166,0,1
3,0,0,14,200,0.13881,0.4508,0,4166,1,1
7,0,1,16,200,0.27437,0.51583,0,2294,0,1
7,0,1,16,200,0.27437,0.51583,0,2294,1,1
4,0,0,18,200,0.2455,0.38662,0,8220,0,1
4,0,0,18,200,0.2455,0.38662,0,8220,1,1
8,0,1,20,200,0.32927,0.37023,0,5652,0,1
8,0,1,20,200,0.32927,0.37023,0,5652,1,1
5,0,0,22,100,0.11062,0.49476,0,7194,0,1
5,0,0,22,100,0.11062,0.49476,0,7194,1,1
1,0,0,24,200,0.85838,2.791e-07,0,15,0,1
1,0,0,24,200,0.85838,2.791e-07,0,15,1,1
6,0,0,26,200,0.32807,0.21699,0,3447,0,1
6,0,0,26,200,0.32807,0.21699,0,3447,1,1
9,0,1,28,100,0.077257,0.44987,0,2294,0,1
9,0,1,28,100,0.077257,0.44987,0,2294,1,1
7,0,0,30,200,0.27437,0.24146,0,8373,0,1
7,0,0,30,200,0.27437,0.24146,0,8373,1,1
10,0,1,32,200,0.11065,0.16997,0,6425,0,1
10,0,1,32,200,0.11065,0.16997,0,6425,1,1
0,0,0,34,200,1.3165,0,0,5445,0,1
0,0,0,34,200,1.3165,0,0,5445,1,1
2,0,0,36,200,0.73855,4.8834e-07,0,12120,0,1
2,0,0,36,200,0.73855,4.8834e-07,0,12120,1,1
9,0,0,38,100,0.077257,0.37262,0,3447,0,1
9,0,0,38,100,0.077257,0.37262,0,3447,1,1
8,0,0,40,200,0.32927,0.040963,0,6232,0,1
8,0,0,40,200,0.32927,0.040963,0,6232,1,1
10,0,0,42,200,0.11065,0.059318,0,4902,0,1
10,0,0,42,200,0.11065,0.059318,0,4902,1,1
